"vid","hs","ag","ex","co","em","op"
"SELTCAWRS_t93_v2",5.6,4.4,5.4,6.6,4.8,5.4
"SELTCAWRS_t93_v3",5,2.75,1,2,1.5,3.5
"SELTCAWRS_t93_v4",4.4,5.4,5.2,5.6,4.6,4.4
"SELTCAWRS_t93_v5",4.4,4,5.2,5.2,4.4,4.4
"SELTCAWRS_t93_v6",5,1.4,2.2,1.6,2.2,1.8
"SELTCAWRS_t93_v7",4.8,5.2,4.4,5.4,5.6,4.8
"SELTCAWRS_t93_v8",5,3.6,2,1.6,2,2.8
"SELTCAWRS_t94_v1",4.6,1.6,3.2,2,2.6,3
"SELTCAWRS_t94_v2",5.5,5.25,5.75,6.5,6,5.5
"SELTCAWRS_t94_v3",5.6,1.4,1.2,1.8,1.4,2
"SELTCAWRS_t94_v4",5.6,6.2,5.6,5.8,6,5.2
"SELTCAWRS_t94_v5",5.8,5.6,5.6,6.2,6,5.4
"SELTCAWRS_t94_v6",5.6,1.2,2.6,1.4,1.4,2.4
"SELTCAWRS_t94_v7",5,6.2,6.6,5.2,5.8,6
"SELTCAWRS_t94_v8",6,1.4,1.2,2.2,1.2,2.6
"SELTCAWRS_t95_v1",6.2,1.4,2.6,1.2,1.4,1.2
"SELTCAWRS_t95_v2",6.2,5.2,6.4,6.6,5.8,5.6
"SELTCAWRS_t95_v3",6.2,1.2,1.2,1.2,1.2,1.6
"SELTCAWRS_t95_v4",6,6,6,6.2,5.8,5.8
"SELTCAWRS_t95_v5",5.4,6.2,5.4,5.4,6.4,5.4
"SELTCAWRS_t95_v6",5.8,2,1.8,1.2,2,1.8
"SELTCAWRS_t95_v7",5.8,6,6.4,6,6,6.2
"SELTCAWRS_t95_v8",6,1.2,1.2,1.8,1.2,2.6
"SELTCAWRS_t98_v1",4.2,2.4,3.8,2.2,3.2,2.6
"SELTCAWRS_t98_v2",4,3.4,4,5.2,4.4,3.8
"SELTCAWRS_t98_v3",3.4,3.6,4.2,2.8,2.8,3.8
"SELTCAWRS_t98_v4",3.75,5,3.25,4.75,5,3.75
"SELTCAWRS_t98_v5",3,3,2.2,4.6,4,2.8
"SELTCAWRS_t98_v6",3.4,2.6,3.8,2.4,3.2,3
"SELTCAWRS_t98_v7",3.8,5.2,2.8,4.2,4.4,4
"SELTCAWRS_t98_v8",3.4,4,3.8,2.4,2.2,4.4
"SELTCAWRS_t99_v1",4.2,2.2,4.2,1.6,2.8,2.6
"SELTCAWRS_t99_v3",5.4,2,2,1.6,1.6,2
"SELTCAWRS_t99_v4",5.4,6,5.2,6.2,5.2,5
"SELTCAWRS_t99_v5",5.4,5,5.4,6.4,5.2,5.8
"SELTCAWRS_t99_v6",5.6,1.6,3.6,1.4,1.4,1.8
"SELTCAWRS_t99_v7",5.4,5.4,4.6,5.8,5.8,5.6
"SELTCAWRS_t99_v8",5.6,1.6,1.8,1.6,1.4,2
